,ctdpf_ckl_seawater_temperature,practical_salinity,ctdpf_ckl_seawater_conductivity,density,Label
"(4800.421, 4900.43]",2.70088,33.24893570553648,3.061754899999999,1033.5368705931105,0
"(4900.43, 5000.439]",2.670494000000001,33.26172298708448,3.0613427000000035,1033.674648489867,0
"(5000.439, 5100.447]",2.6418190000000004,33.27318569965643,3.0609627000000006,1033.8110882139874,0
"(5100.447, 5200.456]",2.6109530000000007,33.285196126687225,3.0604393000000005,1033.948045672745,0
"(5200.456, 5300.465]",2.5778659999999998,33.29670838386321,3.059683,1034.0846648460156,0
"(5300.465, 5400.474]",2.550092,33.30748791153169,3.0593145999999978,1034.2201765422892,0
"(5400.474, 5500.482]",2.5330370000000006,33.31447091371453,3.059539999999996,1034.351724863727,0
"(5500.482, 5600.491]",2.5048779999999997,33.32503828775377,3.059119400000004,1034.487271042689,0
"(5600.491, 5700.5]",2.476434999999999,33.33502974486983,3.058623599999999,1034.6221900588716,0
"(5700.5, 5800.509]",2.45968,33.34361941607558,3.0589980000000025,1034.7544813692048,0
"(5800.509, 5900.518]",2.4375200000000006,33.35302259614023,3.058983399999998,1034.8883626737081,0
"(5900.518, 6000.526]",2.4168580000000004,33.361006224260656,3.058976200000001,1035.020886267707,0
"(6000.526, 6100.535]",2.3986009999999998,33.36835220295421,3.0591138000000004,1035.152107992464,0
"(6100.535, 6200.544]",2.371053999999999,33.375645560603786,3.0584597000000002,1035.2844296490823,0
"(6200.544, 6300.553]",2.348361,33.38134705408206,3.0580820999999996,1035.4147581680593,0
"(6300.553, 6400.561]",2.339465,33.389202882982026,3.059043900000002,1035.5446672237279,0
"(6400.561, 6500.57]",2.3206989999999994,33.39804568719245,3.059249199999999,1035.676395239391,0
"(6500.57, 6600.579]",2.3078870000000005,33.40335750667356,3.0596620000000025,1035.8042031165212,0
"(6600.579, 6700.588]",2.2924,33.40868220865545,3.059848600000004,1035.9324080983733,0
"(6700.588, 6800.596]",2.279378999999999,33.41222995079028,3.0600959999999993,1036.0589224379887,0
"(6800.596, 6900.605]",2.2564389999999994,33.41621446041939,3.0595399000000008,1036.187114743924,0
"(6900.605, 7000.614]",2.233001,33.41971466842269,3.0588985999999996,1036.3147732751477,0
"(7000.614, 7100.623]",2.201955999999999,33.42349119805779,3.057634899999999,1036.4435228319414,0
"(7100.623, 7200.632]",2.1874120000000006,33.427570438905455,3.0577872000000013,1036.5701415651909,0
"(7200.632, 7300.64]",2.1675799999999987,33.432043375311544,3.0574814999999984,1036.692845654314,0
"(7300.64, 7400.649]",2.162841,33.43357860475488,3.0574641999999947,1036.724577881472,0
"(7400.649, 7500.658]",2.1766489999999994,33.4255914357653,3.0578223999999996,1036.698882767918,0
"(7500.658, 7600.667]",2.176731,33.4258327798275,3.0575348000000018,1036.662450386228,0
"(7600.667, 7700.675]",2.1907470000000004,33.42431635861795,3.057539600000001,1036.5367267613512,0
"(7700.675, 7800.684]",2.2121240000000006,33.423086230663664,3.058151200000002,1036.4059333210196,0
"(7800.684, 7900.693]",2.2400569999999993,33.42251179682496,3.0593766000000016,1036.2756217176584,0
"(7900.693, 8000.702]",2.259905,33.421208518037616,3.0598608999999994,1036.1462025464507,0
"(8000.702, 8100.711]",2.2788320000000004,33.4188427765276,3.060183300000001,1036.016630315963,0
"(8100.711, 8200.719]",2.3043590000000016,33.41689141487375,3.0610997999999996,1035.8869090063372,0
"(8200.719, 8300.728]",2.32376,33.41421866341241,3.0614414000000005,1035.7578678287337,0
"(8300.728, 8400.737]",2.3423330000000018,33.40890872870489,3.0614994999999987,1035.6274843505637,0
"(8400.737, 8500.746]",2.3578969999999995,33.40329261465261,3.0612761999999982,1035.4972321932908,0
