File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,latitude,longitude,station,INS:LOCATION,sea_water_pressure,sea_water_temperature,Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],moles_of_oxygen_per_unit_mass_in_sea_water,Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3604,1.5116,34.6749,27.7742,68.4,2.96,128.5,0.083,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3605,1.5115,34.6752,27.7744,68.4,3.02,131.0,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3606,1.5116,34.6751,27.7743,68.4,2.96,128.7,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3607,1.5115,34.675,27.7742,68.4,2.95,128.2,0.1,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3608,1.5114,34.6752,27.7744,68.4,2.98,129.3,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3609,1.5112,34.6752,27.7744,68.4,2.96,128.5,0.099,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3610,1.5113,34.675,27.7743,68.4,3.0,130.2,0.087,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3611,1.5114,34.675,27.7742,68.4,2.98,129.4,0.086,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3612,1.5113,34.6751,27.7743,68.4,2.93,127.2,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3613,1.5116,34.6751,27.7743,68.4,2.99,129.7,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3614,1.5118,34.6752,27.7744,68.4,2.94,127.9,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3615,1.5118,34.6751,27.7743,68.4,2.97,129.1,0.094,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3616,1.5116,34.6753,27.7745,68.4,3.03,131.5,0.098,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3617,1.5113,34.6754,27.7746,68.4,2.94,127.5,0.09300000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3618,1.5109,34.6755,27.7747,68.4,2.99,129.7,0.08900000000000001,
2014-01-0043.ctd,UTC,19-02-14, 19:24,43,50.00033,-144.99899,P26,Mid-ship,3619,1.5109,34.6755,27.7747,68.4,2.98,129.2,0.083,
